transcript_id,transcript_position,score
ENST00000000233,244,0.05231642881166648
ENST00000000233,261,0.5426207202361283
ENST00000000233,316,0.051109820810064044
ENST00000000233,332,0.28565655947451296
ENST00000000233,368,0.627880251937826
ENST00000000233,404,0.2913047561259504
ENST00000000233,431,0.8087595500476801
ENST00000000233,440,0.06066354656381505
ENST00000000233,471,0.8499836342305699
ENST00000000233,539,0.6355225020266083
ENST00000000233,571,0.7812195799026742
ENST00000000233,575,0.09082415987457954
ENST00000000233,665,0.9314070826233131
ENST00000000233,696,0.029380310215652794
ENST00000000233,752,0.050149429903210585
ENST00000000233,757,0.3648034976380269
ENST00000000233,765,0.8262690520871611
ENST00000000233,913,0.6617049550055987
ENST00000000412,355,0.15551395088481126
ENST00000000412,367,0.6258608900116062
ENST00000000412,496,0.9256629435270763
ENST00000000412,501,0.9153702264715599
ENST00000000412,547,0.22456761800389421
ENST00000000412,559,0.21786542601186598
ENST00000000412,627,0.017547875111141774
ENST00000000412,674,0.33491923268708745
ENST00000000412,769,0.2990842367000513
ENST00000000412,783,0.5099503201572047
ENST00000000412,793,0.6763112053872217
ENST00000000412,854,0.041723155218656445
ENST00000000412,923,0.5881101991961162
ENST00000000412,932,0.08358378417192679
ENST00000000412,1190,0.4899410661870374
ENST00000000412,1209,0.055153983595637654
ENST00000000412,1250,0.08735454459587277
ENST00000000412,1283,0.04967699679539134
ENST00000000412,1343,0.05070079751766295
ENST00000000412,1458,0.32095285036442045
ENST00000000412,1545,0.07331256539445237
ENST00000000412,1570,0.04552954398490644
ENST00000000412,1638,0.05507703915426519
ENST00000000412,1661,0.2958640609134404
ENST00000000412,1699,0.046443235524688424
ENST00000000412,1790,0.5550114206339555
ENST00000000412,1860,0.4665161510102669
ENST00000000412,1888,0.2677716249053705
ENST00000000412,1960,0.8500987660814573
ENST00000000412,1986,0.9410282368968523
ENST00000000412,2195,0.04520838398892834
ENST00000000412,2230,0.08332595899865082
ENST00000000412,2275,0.38281547670296057
ENST00000000412,2434,0.044895024928600584
ENST00000000412,2440,0.9044096388528646
ENST00000000412,2462,0.3382148650369589
ENST00000000412,2484,0.048601414741509794
ENST00000000412,2499,0.8107580229982488
ENST00000000412,2564,0.10574039587706198
ENST00000000412,2580,0.8785080619065853
ENST00000000412,2618,0.05727865717579476
ENST00000000412,2707,0.05350129789894693
ENST00000000412,2728,0.2719086075528873
ENST00000002165,35,0.7080386475801023
ENST00000002165,54,0.5900412037655042
ENST00000002165,207,0.059142909545283895
ENST00000002165,367,0.35302253894760033
ENST00000002165,449,0.13371718968561938
ENST00000002165,457,0.05639685126389745
ENST00000002165,501,0.8752228261088858
ENST00000002165,534,0.6358439024515053
ENST00000002165,547,0.7306867470068367
ENST00000002165,567,0.2681785389668079
ENST00000002165,572,0.7870770434716818
ENST00000002165,576,0.2027494096044101
ENST00000002165,589,0.9580345809065949
ENST00000002165,680,0.2289835919135072
ENST00000002165,708,0.2994457690478582
ENST00000002165,771,0.25990928907879224
ENST00000002165,900,0.0672047762894998
ENST00000002165,907,0.6735380763830076
ENST00000002165,933,0.4598629580620031
ENST00000002165,941,0.07085439310677533
ENST00000002165,948,0.23128650116339758
ENST00000002165,952,0.43986190136282977
ENST00000002165,990,0.34567836619587217
ENST00000002165,1031,0.28172485031332
ENST00000002165,1163,0.043365399047591756
ENST00000002165,1188,0.08801703442741547
ENST00000002165,1273,0.8422019655368223
ENST00000002165,1324,0.06975963611676175
ENST00000002165,1339,0.5024912845862238
ENST00000002165,1350,0.38754211850861986
ENST00000002165,1387,0.6984856197660239
ENST00000002165,1400,0.05827731630540705
ENST00000002165,1445,0.5888350065689025
ENST00000002165,1506,0.4276587744292443
ENST00000002165,1553,0.4432285127640397
ENST00000002165,1630,0.04108286445400402
ENST00000002165,1639,0.17562855935103533
ENST00000003100,1022,0.04357801416416725
ENST00000003100,1072,0.7007365744909494
ENST00000003100,1172,0.2818612969561232
ENST00000003100,1177,0.06047952718360734
ENST00000003100,1210,0.042298917301456344
ENST00000003100,1240,0.13175440460054647
ENST00000003100,1247,0.056691016963491284
ENST00000003100,1291,0.04179274897027036
ENST00000003100,1299,0.5019089475982106
ENST00000003100,1305,0.138612111989151
ENST00000003100,1339,0.73034538899505
ENST00000003100,1348,0.48717072570182746
ENST00000003100,1413,0.5067548387262573
ENST00000003100,1421,0.7324442765355338
ENST00000003100,1442,0.672544721970627
ENST00000003100,1472,0.05261488390393444
ENST00000003100,1564,0.17018163415886542
ENST00000003100,1661,0.05414525393258523
ENST00000003100,1773,0.031651673034745954
ENST00000003100,1845,0.32949398480034425
ENST00000003100,1880,0.03965564650489066
ENST00000003100,1937,0.033818833975093256
ENST00000003100,2055,0.6118705731644759
ENST00000003100,2105,0.04567884424819963
ENST00000003100,2175,0.19939803105721096
ENST00000003100,2272,0.08117754525458237
ENST00000003100,2310,0.35303003730692595
ENST00000003100,2360,0.7747176011324894
ENST00000003100,2737,0.8042553018278229
ENST00000003100,2744,0.1855707641164952
ENST00000003100,2873,0.050976133733595365
ENST00000003100,2880,0.04051956604705205
ENST00000003100,2884,0.2392064936112974
ENST00000003100,2916,0.8290574827459263
ENST00000003100,2940,0.017053715718778478
ENST00000003100,3020,0.16616417859290575
ENST00000003100,3032,0.10381886347496862
ENST00000003100,3126,0.06172866351759643
ENST00000003100,3136,0.5594387575977758
ENST00000003100,3147,0.3024023407683747
ENST00000007516,186,0.6311012711033818
ENST00000007516,204,0.8280341319782879
ENST00000007516,307,0.5961889717738484
ENST00000007516,329,0.3128738595478125
ENST00000007516,337,0.06938398655838142
ENST00000007516,346,0.09807088051968103
ENST00000007516,385,0.27918140808277836
ENST00000007516,397,0.18321750170933004
ENST00000007516,406,0.2850823863819089
ENST00000007516,545,0.17681638013893688
ENST00000007516,569,0.8523930015451013
ENST00000007516,604,0.659827988681579
ENST00000007516,626,0.6500390684535329
ENST00000007516,632,0.19548065848420546
ENST00000007516,650,0.8715574451901491
ENST00000005257,470,0.5099123902481637
ENST00000005257,504,0.7759535736385752
ENST00000005257,525,0.2298589073312628
ENST00000005257,600,0.5881587534192765
ENST00000005257,696,0.590221465789033
ENST00000005257,759,0.026677092091727618
ENST00000005257,784,0.20154304759618724
ENST00000005257,810,0.0671760081426012
ENST00000005257,834,0.06635503303937187
ENST00000005257,845,0.03318304976563195
ENST00000005257,857,0.058074693257312064
ENST00000005257,873,0.06353821346743445
ENST00000005257,924,0.1247636819162261
ENST00000005257,2254,0.2424579195277873
ENST00000005257,2323,0.7483572811304141
ENST00000005257,2390,0.4077062615696057
ENST00000005257,2440,0.2578202462427003
ENST00000005257,2473,0.04108891891384534
ENST00000005257,2512,0.7686566546270538
ENST00000005257,2642,0.05542073904590174
ENST00000005257,2696,0.04960984192083898
